student_id,day,1st_preference,2nd_preference,3rd_preference,priority
S044,wed,CostumeDesign,PhysicsExperiments,AIClub,low
S044,thu,DataScience,Weightlifting,PhysicsExperiments,low
S045,mon,UIDesign,mediumDPrinting,Theater,low
S045,tue,AIClub,BoardGames,Debate,low
S045,wed,Music,ScienceClub,mediumDPrinting,low
S045,thu,SelfDefense,MathClub,Entrepreneurship,low
S046,mon,CostumeDesign,Breakdancing,Zumba,low
S046,tue,AIClub,LeadershipWorkshop,FilmProduction,low
S046,wed,Dance,Entrepreneurship,ClimateChange,low
S046,thu,Astronomy,Football,FilmProduction,low
S047,mon,Art,SpaceExploration,Astronomy,low
S047,tue,Pottery,FilmProduction,TapDance,low
S047,wed,ChemistryLab,Theater,Robotics,low
S047,thu,PhysicsExperiments,ChemistryLab,Zumba,low
S048,mon,LeadershipWorkshop,Storytelling,Origami,low
S048,tue,Entrepreneurship,PuzzleSolving,Hockey,low
S048,wed,FirstAid,TapDance,Chess,low
S048,thu,PhysicsExperiments,WebDevelopment,Parkour,low
S049,mon,BiologyResearch,ChemistryLab,Meditation,low
S049,tue,DigitalMarketing,Music,Astronomy,low
S049,wed,CreativeWriting,LeadershipWorkshop,FilmProduction,low
S049,thu,Entrepreneurship,SpaceExploration,DigitalMarketing,low
S050,mon,UXDesign,Meditation,Parkour,low
S050,tue,UIDesign,Theater,PublicSpeaking,low
S050,wed,BoardGames,Singing,Tennis,low
S050,thu,DramaClub,Chess,PhysicsExperiments,low
S051,mon,CyberSecurity,PuzzleSolving,FirstAid,low
S051,tue,UXDesign,AppDesign,ChessClub,low
S051,wed,Football,PhysicsExperiments,TapDance,low
S051,thu,SocialMediaMarketing,ClimateChange,SpanishClub,low
S052,mon,SelfDefense,Breakdancing,PublicSpeaking,low
S052,tue,Cycling,Debate,SurvivalSkills,low
S052,wed,Theater,Animation,Soccer,low
S052,thu,CodingBootcamp,FirstAid,DJing,low
S053,mon,BiologyResearch,CostumeDesign,ChemistryLab,low
S053,tue,SpaceExploration,Weightlifting,DJing,low
S053,wed,BiologyResearch,Meditation,Singing,low
S053,thu,AIClub,Zumba,Origami,low
S054,mon,Theater,Music,BoardGames,low
S054,tue,DigitalMarketing,Football,RoboticsClub,low
S054,wed,Singing,SpaceExploration,Tennis,low
S054,thu,DataScience,UIDesign,WildlifeConservation,low
S055,mon,Music,ClimateChange,Skating,low
S055,tue,DigitalMarketing,PuzzleSolving,PublicSpeaking,low
S055,wed,Debate,Skating,mediumDPrinting,low
S055,thu,DataScience,UIDesign,Weightlifting,low
S056,mon,ScienceClub,AIClub,Photography,low
S056,tue,CostumeDesign,FirstAid,SpanishClub,low
S056,wed,Mindfulness,UXDesign,DigitalMarketing,low
S056,thu,Debate,BoardGames,Singing,low
S057,mon,UIDesign,AIClub,Astronomy,low
S057,tue,Singing,AIClub,Chess,low
S057,wed,mediumDPrinting,Skating,MathClub,low
S057,thu,CyberSecurity,CreativeArts,SoundEngineering,low
S058,mon,DataScience,Astronomy,Photography,low
S058,tue,Meditation,SoundEngineering,TapDance,low
S058,wed,FilmProduction,DronePiloting,PhysicsExperiments,low
S058,thu,ChessClub,DJing,RoboticsClub,low
S059,mon,Meditation,PhysicsExperiments,DigitalMarketing,low
S059,tue,ClimateChange,CreativeWriting,Theater,low
S059,wed,Photography,SelfDefense,Music,low
S059,thu,Animation,DigitalMarketing,Football,low
S060,mon,MathClub,LeadershipWorkshop,Parkour,low
S060,tue,SpaceExploration,mediumDPrinting,Poetry,low
S060,wed,Swimming,SurvivalSkills,Chess,low
S060,thu,DronePiloting,UXDesign,Coding,low
S061,mon,WebDevelopment,Theater,SoundEngineering,low
S061,tue,DigitalMarketing,Zumba,Animation,low
S061,wed,Chess,AppDesign,SoundEngineering,low
S061,thu,PublicSpeaking,Skating,SpanishClub,low
S062,mon,FilmProduction,ChessClub,Dance,low
S062,tue,Chess,LeadershipWorkshop,Storytelling,low
S062,wed,Swimming,RoboticsClub,TapDance,low
S062,thu,Tennis,PuzzleSolving,Hockey,low
S063,mon,UIDesign,Meditation,Animation,low
S063,tue,Soccer,Coding,ScienceClub,low
S063,wed,CodingBootcamp,BiologyResearch,MathClub,low
S063,thu,Volleyball,UXDesign,CostumeDesign,low
S064,mon,SpanishClub,PhysicsExperiments,Astronomy,low
S064,tue,ScienceClub,Volleyball,MathClub,low
S064,wed,Hockey,DJing,PhysicsExperiments,low
S064,thu,Dance,Storytelling,RoboticsClub,low
S065,mon,Entrepreneurship,UXDesign,Coding,low
S065,tue,Origami,ChessClub,ScienceClub,low
S065,wed,Coding,FilmProduction,ChemistryLab,low
S065,thu,AIClub,PuzzleSolving,DramaClub,low
S066,mon,LeadershipWorkshop,CostumeDesign,WebDevelopment,low
S066,tue,Tennis,ScienceClub,Cycling,low
S066,wed,Football,Animation,Meditation,low
S066,thu,DramaClub,Astronomy,Singing,low
S067,mon,ScienceClub,TapDance,AIClub,low
S067,tue,Tennis,LeadershipWorkshop,Pottery,low
S067,wed,Football,FilmProduction,WebDevelopment,low
S067,thu,AppDesign,UIDesign,Parkour,low
S068,mon,SelfDefense,DigitalMarketing,BiologyResearch,low
S068,tue,Robotics,SelfDefense,SpaceExploration,low
S068,wed,BoardGames,SelfDefense,SoundEngineering,low
S068,thu,TapDance,DataScience,Chess,low
S069,mon,Meditation,Skating,DJing,low
S069,tue,Pottery,SpaceExploration,SocialMediaMarketing,low
S069,wed,Debate,Cycling,PhysicsExperiments,low
S069,thu,Parkour,Breakdancing,CostumeDesign,low
S070,mon,Swimming,ChemistryLab,SurvivalSkills,low
S070,tue,CodingBootcamp,CostumeDesign,Breakdancing,low
S070,wed,Debate,DigitalMarketing,Chess,low
S070,thu,SelfDefense,Volleyball,CyberSecurity,low
S071,mon,SoundEngineering,Meditation,CodingBootcamp,medium
S071,tue,TapDance,Swimming,Hockey,medium
S071,wed,Music,Coding,Robotics,medium
S071,thu,CreativeArts,Coding,TapDance,medium
S072,mon,WildlifeConservation,Soccer,Weightlifting,medium
S072,tue,ChemistryLab,PuzzleSolving,AppDesign,medium
S072,wed,Music,RoboticsClub,Theater,medium
S072,thu,SpanishClub,UIDesign,AppDesign,medium
S073,mon,SelfDefense,SurvivalSkills,DramaClub,medium
S073,tue,CodingBootcamp,Cycling,Swimming,medium
S073,wed,CodingBootcamp,Hockey,Animation,medium
S073,thu,AppDesign,ChemistryLab,TapDance,medium
S074,mon,Skating,Art,UXDesign,medium
S074,tue,TapDance,CodingBootcamp,WebDevelopment,medium
S074,wed,AIClub,Zumba,WildlifeConservation,medium
S074,thu,Skating,Volleyball,Entrepreneurship,medium
S075,mon,BiologyResearch,SpaceExploration,Soccer,medium
S075,tue,Soccer,UIDesign,Photography,medium
S075,wed,Football,DJing,Dance,medium
S075,thu,Breakdancing,DJing,WebDevelopment,medium
S076,mon,Mindfulness,Coding,Soccer,medium
S076,tue,DronePiloting,Swimming,SoundEngineering,medium
S076,wed,BoardGames,SpanishClub,Debate,medium
S076,thu,Storytelling,Entrepreneurship,UXDesign,medium
S077,mon,mediumDPrinting,Zumba,UIDesign,medium
S077,tue,Debate,SpaceExploration,SpanishClub,medium
S077,wed,SpaceExploration,Weightlifting,RoboticsClub,medium
S077,thu,Soccer,Animation,ChemistryLab,medium
S078,mon,Mindfulness,CreativeArts,DJing,medium
S078,tue,MathClub,CyberSecurity,Skating,medium
S078,wed,Poetry,SocialMediaMarketing,PublicSpeaking,medium
S078,thu,SelfDefense,Robotics,DramaClub,medium
S079,mon,BiologyResearch,Robotics,Meditation,medium
S079,tue,Football,DronePiloting,BiologyResearch,medium
S079,wed,Astronomy,Soccer,AIClub,medium
S079,thu,Poetry,DataScience,Hockey,medium
S080,mon,Pottery,Football,Astronomy,medium
S080,tue,ChessClub,Hockey,Weightlifting,medium
S080,wed,Coding,Weightlifting,AppDesign,medium
S080,thu,Swimming,SocialMediaMarketing,PublicSpeaking,medium
S081,mon,CostumeDesign,Debate,Mindfulness,medium
S081,tue,Entrepreneurship,ScienceClub,Singing,medium
S081,wed,ChessClub,SocialMediaMarketing,Mindfulness,medium
S081,thu,Dance,MathClub,Breakdancing,medium
S082,mon,SurvivalSkills,BoardGames,ClimateChange,medium
S082,tue,PublicSpeaking,DataScience,CreativeWriting,medium
S082,wed,Cycling,Singing,Mindfulness,medium
S082,thu,DJing,Debate,WildlifeConservation,medium
S083,mon,DronePiloting,SelfDefense,Pottery,medium
S083,tue,MathClub,Soccer,Storytelling,medium
S083,wed,Cycling,Weightlifting,Tennis,medium
S083,thu,Photography,ChessClub,AppDesign,medium
S084,mon,CostumeDesign,Singing,Astronomy,medium
S084,tue,Astronomy,PublicSpeaking,RoboticsClub,medium
S084,wed,Parkour,mediumDPrinting,Origami,medium
S084,thu,Theater,PuzzleSolving,Soccer,medium
S085,mon,MathClub,DronePiloting,TapDance,medium
S085,tue,Breakdancing,BoardGames,FilmProduction,medium
S085,wed,CyberSecurity,Robotics,Hockey,medium
S085,thu,SpaceExploration,Entrepreneurship,Photography,medium
S086,mon,ChemistryLab,CostumeDesign,DJing,medium
S086,tue,Meditation,Robotics,DataScience,medium
S086,wed,Weightlifting,SocialMediaMarketing,Coding,medium
S086,thu,Entrepreneurship,Robotics,CodingBootcamp,medium
S087,mon,LeadershipWorkshop,CyberSecurity,UXDesign,medium
S087,tue,FirstAid,Astronomy,AppDesign,medium
S087,wed,DronePiloting,Chess,Entrepreneurship,medium
S087,thu,DataScience,Music,DramaClub,medium
S088,mon,DronePiloting,Painting,LeadershipWorkshop,medium
S088,tue,Football,Meditation,DJing,medium
S088,wed,Music,Hockey,Dance,medium
S088,thu,Singing,Entrepreneurship,Theater,medium
S089,mon,Origami,SoundEngineering,SpanishClub,medium
S089,tue,DigitalMarketing,Coding,WildlifeConservation,medium
S089,wed,Swimming,WildlifeConservation,Singing,medium
S089,thu,SocialMediaMarketing,Breakdancing,DataScience,medium
S090,mon,CreativeWriting,UXDesign,Music,medium
S090,tue,ScienceClub,Animation,Chess,medium
S090,wed,Poetry,TapDance,Zumba,medium
S090,thu,PuzzleSolving,AppDesign,DataScience,medium
S091,mon,DJing,WildlifeConservation,Swimming,medium
S091,tue,TapDance,RoboticsClub,DronePiloting,medium
S091,wed,DigitalMarketing,AppDesign,Theater,medium
S091,thu,Meditation,Singing,Volleyball,medium
S092,mon,Football,CyberSecurity,Zumba,medium
S092,tue,CyberSecurity,RoboticsClub,Music,medium
S092,wed,Entrepreneurship,DataScience,FirstAid,medium
S092,thu,DronePiloting,PublicSpeaking,WildlifeConservation,medium
S093,mon,Coding,SocialMediaMarketing,ClimateChange,medium
S093,tue,Pottery,DigitalMarketing,FilmProduction,medium
S093,wed,FilmProduction,Breakdancing,Tennis,medium
S093,thu,Robotics,Cycling,CostumeDesign,medium
S094,mon,MathClub,ScienceClub,BoardGames,medium
S094,tue,Parkour,SelfDefense,Art,medium
S094,wed,DataScience,Football,Robotics,medium
S094,thu,DJing,Storytelling,Weightlifting,medium
S095,mon,PublicSpeaking,SoundEngineering,Painting,medium
S095,tue,Parkour,ScienceClub,Coding,medium
S095,wed,Poetry,AppDesign,ChemistryLab,medium
S095,thu,Mindfulness,Volleyball,DataScience,medium
S096,mon,DronePiloting,BoardGames,Chess,medium
S096,tue,FirstAid,DigitalMarketing,CodingBootcamp,medium
S096,wed,DJing,Photography,FirstAid,medium
S096,thu,Meditation,Photography,Chess,medium
S097,mon,Photography,PublicSpeaking,FirstAid,medium
S097,tue,Art,FilmProduction,DJing,medium
S097,wed,Robotics,CostumeDesign,Swimming,medium
S097,thu,DigitalMarketing,Photography,Art,medium
S098,mon,Hockey,Breakdancing,CreativeArts,medium
S098,tue,Robotics,DronePiloting,PuzzleSolving,medium
S098,wed,SoundEngineering,FilmProduction,TapDance,medium
S098,thu,Cycling,FilmProduction,Football,medium
S099,mon,DramaClub,Singing,Skating,medium
S099,tue,ScienceClub,PuzzleSolving,Cycling,medium
S099,wed,Football,CostumeDesign,Pottery,medium
S099,thu,Meditation,Mindfulness,DronePiloting,medium
S100,mon,Football,WildlifeConservation,DronePiloting,medium
S100,tue,Soccer,LeadershipWorkshop,DJing,medium
S100,wed,Cycling,Soccer,Photography,medium
S100,thu,ClimateChange,UXDesign,FilmProduction,medium
S101,mon,Cycling,Zumba,Theater,medium
S101,tue,FilmProduction,Dance,Zumba,medium
S101,wed,Origami,DJing,CreativeArts,medium
S101,thu,mediumDPrinting,SurvivalSkills,Coding,medium
S102,mon,ChessClub,Skating,Mindfulness,medium
S102,tue,Zumba,Soccer,CyberSecurity,medium
S102,wed,Volleyball,CodingBootcamp,RoboticsClub,medium
S102,thu,CostumeDesign,SpanishClub,Cycling,medium
S103,mon,Music,Animation,Storytelling,medium
S103,tue,SpaceExploration,BoardGames,CodingBootcamp,medium
S103,wed,DataScience,ScienceClub,Singing,medium
S103,thu,Poetry,Meditation,Debate,medium
S104,mon,PublicSpeaking,LeadershipWorkshop,mediumDPrinting,medium
S104,tue,Breakdancing,BoardGames,DronePiloting,medium
S104,wed,RoboticsClub,Meditation,mediumDPrinting,medium
S104,thu,DigitalMarketing,Mindfulness,Painting,medium
S105,mon,CreativeArts,AIClub,Soccer,medium
S105,tue,Soccer,mediumDPrinting,Breakdancing,medium
S105,wed,AppDesign,DigitalMarketing,DataScience,medium
S105,thu,DataScience,LeadershipWorkshop,Volleyball,medium
S106,mon,CreativeArts,Football,AIClub,medium
S106,tue,UXDesign,Robotics,Weightlifting,medium
S106,wed,BiologyResearch,Singing,DataScience,medium
S106,thu,Theater,Parkour,Chess,medium
S107,mon,ChemistryLab,CostumeDesign,SurvivalSkills,medium
S107,tue,ChessClub,UIDesign,Parkour,medium
S107,wed,PuzzleSolving,Coding,Skating,medium
S107,thu,DJing,Storytelling,Dance,medium
S108,mon,Origami,Robotics,DronePiloting,medium
S108,tue,FilmProduction,Parkour,Art,medium
S108,wed,SelfDefense,FirstAid,DronePiloting,medium
S108,thu,ChessClub,Painting,PuzzleSolving,medium
S109,mon,SpanishClub,ChemistryLab,Zumba,medium
S109,tue,Theater,CreativeWriting,SpaceExploration,medium
S109,wed,Tennis,Entrepreneurship,SocialMediaMarketing,medium
S109,thu,DataScience,Football,Parkour,medium
S110,mon,Storytelling,PuzzleSolving,Weightlifting,medium
S110,tue,BiologyResearch,Robotics,SpanishClub,medium
S110,wed,FilmProduction,Skating,SocialMediaMarketing,medium
S110,thu,mediumDPrinting,SurvivalSkills,MathClub,medium
S111,mon,Art,Storytelling,TapDance,medium
S111,tue,Music,PhysicsExperiments,DronePiloting,medium
S111,wed,PublicSpeaking,Origami,CreativeWriting,medium
S111,thu,SpaceExploration,Chess,UXDesign,medium
S112,mon,CostumeDesign,AppDesign,Soccer,medium
S112,tue,FirstAid,UXDesign,Photography,medium
S112,wed,Weightlifting,CreativeWriting,Breakdancing,medium
S112,thu,AppDesign,Soccer,Astronomy,medium
S113,mon,DronePiloting,LeadershipWorkshop,WildlifeConservation,medium
S113,tue,CodingBootcamp,Animation,CreativeArts,medium
S113,wed,AIClub,MathClub,Soccer,medium
S113,thu,Skating,MathClub,AIClub,medium
S114,mon,UXDesign,WildlifeConservation,mediumDPrinting,medium
S114,tue,Storytelling,Pottery,Photography,medium
S114,wed,UIDesign,Entrepreneurship,WildlifeConservation,medium
S114,thu,Poetry,FilmProduction,SoundEngineering,medium
S115,mon,Coding,AppDesign,ClimateChange,medium
S115,tue,Robotics,SpaceExploration,RoboticsClub,medium
S115,wed,AppDesign,Origami,Animation,medium
S115,thu,LeadershipWorkshop,Mindfulness,Debate,medium
S116,mon,CostumeDesign,Dance,Tennis,medium
S116,tue,DataScience,BoardGames,AIClub,medium
S116,wed,Robotics,AIClub,Weightlifting,medium
S116,thu,WildlifeConservation,Hockey,Breakdancing,medium
S117,mon,ClimateChange,LeadershipWorkshop,DJing,medium
S117,tue,SelfDefense,WildlifeConservation,RoboticsClub,medium
S117,wed,Skating,Art,Photography,medium
S117,thu,Football,Chess,Poetry,medium
S118,mon,Coding,Volleyball,BiologyResearch,medium
S118,tue,CostumeDesign,BoardGames,Art,medium
S118,wed,Soccer,Astronomy,PhysicsExperiments,medium
S118,thu,FirstAid,DronePiloting,SelfDefense,medium
S119,mon,Painting,Swimming,FirstAid,medium
S119,tue,Dance,FilmProduction,Storytelling,medium
S119,wed,ClimateChange,Art,Meditation,medium
S119,thu,SurvivalSkills,Hockey,Zumba,medium
S120,mon,Dance,Coding,Music,medium
S120,tue,Painting,CyberSecurity,ScienceClub,medium
S120,wed,Photography,AIClub,AppDesign,medium
S120,thu,Entrepreneurship,DramaClub,FirstAid,medium
S121,mon,SpanishClub,FilmProduction,Skating,medium
S121,tue,SpanishClub,PhysicsExperiments,RoboticsClub,medium
S121,wed,Tennis,FilmProduction,Astronomy,medium
S121,thu,CostumeDesign,Art,SoundEngineering,medium
S122,mon,Theater,BiologyResearch,ScienceClub,medium
S122,tue,Chess,Animation,PublicSpeaking,medium
S122,wed,DataScience,SpaceExploration,Parkour,medium
S122,thu,Meditation,Soccer,SpanishClub,medium
S123,mon,Music,Football,PublicSpeaking,medium
S123,tue,BiologyResearch,Origami,Poetry,medium
S123,wed,Skating,SpanishClub,PublicSpeaking,medium
S123,thu,Mindfulness,Theater,DataScience,medium
S124,mon,UIDesign,Meditation,Soccer,medium
S124,tue,PuzzleSolving,SocialMediaMarketing,Singing,medium
S124,wed,Mindfulness,CreativeArts,Skating,medium
S124,thu,CreativeArts,mediumDPrinting,Debate,medium
S125,mon,FilmProduction,ClimateChange,Breakdancing,medium
S125,tue,SoundEngineering,ScienceClub,Painting,medium
S125,wed,Cycling,Animation,ScienceClub,medium
S125,thu,Origami,FilmProduction,PublicSpeaking,medium
S126,mon,Photography,ChemistryLab,DJing,medium
S126,tue,AIClub,AppDesign,FirstAid,medium
S126,wed,ClimateChange,Parkour,Poetry,medium
S126,thu,Meditation,Music,Football,medium
S127,mon,mediumDPrinting,UIDesign,DronePiloting,medium
S127,tue,PuzzleSolving,Coding,ClimateChange,medium
S127,wed,Storytelling,Cycling,Meditation,medium
S127,thu,WebDevelopment,Debate,Storytelling,medium
S128,mon,SocialMediaMarketing,Skating,mediumDPrinting,medium
